Date,AAPL,GOOGL,MSFT,VIST,YPF,SUPV,GGAL,ABBV,ABT,ACN,ADBE,AES,AFL,AMD,AOS,MMM,A,ABNB,AEE,AEP,AIG,AKAM,ALB,ALGN,ALL,ALLE,AMCR,AMT,AMZN,APD,ARE,AXP,GOOG,LNT,MO
2025-05-16,211.259994506836,166.19000244140625,454.2699890136719,50.18999862670898,35.880001068115234,15.630000114440918,62.02000045776367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-16 00:00:00,,,,,,,,184.0200042724609,134.8000030517578,317.69000244140625,417.1300048828125,12.210000038146973,106.81999969482422,117.16999816894533,70.5199966430664,153.11000061035156,,,,,,,,,,,,,,,,,,,
2025-05-16 00:00:00,,166.19000244140625,,,,,,184.02000427246094,134.8000030517578,317.69000244140625,417.1300048828125,12.210000038146973,106.81999969482422,117.16999816894531,70.5199966430664,153.11000061035156,113.7699966430664,138.0,98.0199966430664,103.04000091552734,84.33000183105469,78.02999877929688,60.209999084472656,188.2899932861328,209.05999755859375,145.63999938964844,9.4399995803833,213.3800048828125,205.58999633789062,278.92999267578125,72.8499984741211,299.7200012207031,167.42999267578125,62.47999954223633,58.88999938964844
