ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,score_deep_value,score_momentum_calidad,graham_margin_of_safety,fcf_yield,analyst_upside,trailingPE_vs_historia,priceToBook_vs_historia,rsi_14,current_drawdown,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
AAL,"American Airlines Group, Inc.",Industrials,Airlines,227,4.398605707196029,Débil,87.1,7.211538461538462,4.615384615384616,2.9807692307692304,2.692307692307692,4.790384615384617,4.038461538461538,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.04184380717184049,-0.17595307917888564,,,13.640000343322754,-0.12635783822743174,-0.020294389797648082,-0.27408194021699017,0.3518335325394206,0.40804601647387984,1.347,9029269504.0,1.09,False,5.317307692307692,3.923076923076923,-0.729504294664411,0.05750741893017706,0.3563049511986547,,,37.9092911278766,-0.24848481377393683,35.206776,5.8859067,-2.2729547,10.794,0.17212999,-0.00559,0.02814,0.163,-0.882,105.059,0.534,519249984.0
KEEL,Keel Infrastructure Corp.,Technology,Information Technology Services,305,3.7879756939234808,Débil,87.1,8.008720930232558,0.627906976744186,0.7267441860465116,5.0,4.6924418604651175,9.593023255813954,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,,,,,3.2200000286102295,-0.25435345762082484,-0.04327543606428785,-0.5630936189131304,1.6178862021221376,0.3241042391873338,4.113,1988585728.0,2.83,False,2.9505813953488373,2.1395348837209305,-0.5914415351172102,-0.09083943299828409,1.0031055722641895,,,41.86109167889936,-0.5165165011435501,14.876543,-13.605442,6.041276,-39.626,-0.75638,-2.30594,-1.80976,-0.5,0.038,315.882,16.263,-180642000.0
CDE,"Coeur Mining, Inc.",Basic Materials,Gold,109,4.984221658986176,Débil,87.1,5.178571428571428,5.428571428571429,5.892857142857142,8.839285714285714,4.780357142857144,0.5357142857142857,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,21.1299991607666,0.23398385605467387,0.12447742986738852,-0.23910698016684906,0.6354488514525234,0.5528618963479193,1.343,21720264704.0,0.19,False,4.375,4.446428571428571,-0.2408235748082983,0.03668203987648787,0.10355801827462119,,,62.745968396962574,-0.21478372291947054,18.699114,10.255738,2.0877383,13.122,0.12848,0.26817,0.19387,1.259,0.076,6.851,3.654,796743616.0
MARA,"MARA Holdings, Inc.",Financial Services,Capital Markets,349,3.0585222410865875,Débil,87.1,5.942982456140351,0.6140350877192982,4.517543859649122,2.807017543859649,4.714035087719299,2.1929824561403506,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,10.670000076293945,-0.09470396936298842,-0.027697403733938586,-0.5449893357657166,0.6021021135576494,0.23883264301929394,5.36,4121813504.0,1.5499999999999998,False,0.8903508771929822,2.9385964912280698,-0.5253726528165845,-0.28339258699269865,0.6862914593576546,,,47.89518433278257,-0.28148149480128704,19.286907499999998,-9.278261,2.454002,-3.335,-1.0557,0.0,-2.65211,-0.267,0.624,140.159,0.891,-1168091392.0
SOFI,"SoFi Technologies, Inc.",Financial Services,Credit Services,315,3.7308352009054895,Débil,87.1,2.127192982456141,1.9824561403508771,7.807017543859649,5.175438596491228,4.714035087719299,0.7894736842105263,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,18.059999465942383,0.012933663832904285,-0.10835838178483836,-0.44821266526298853,0.2137096415283859,0.17815123058500745,2.204,23325759488.0,0.91,False,4.206140350877193,3.7192982456140347,-0.4780879834089765,0.06407481907205598,0.10880401949973595,,,49.63697568043463,-0.07384618123372395,39.260868,21.964922,2.1039143,15.2335,0.07095,0.14906,0.16956,0.426,0.404,30.835,1.105,
UWMC,UWM Holdings Corporation,Financial Services,Mortgage Finance,346,3.1624090548953028,Débil,87.1,4.210526315789474,1.0350877192982455,2.675438596491228,4.210526315789474,4.714035087719299,9.82456140350877,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,1.4900000095367432,-0.18122870121071377,-0.5914394193677612,-0.7913165252749659,0.602150547888971,0.09017713519110195,1.847,4270327296.0,24.54,False,1.8728070175438594,0.8421052631578946,-0.1576823870663372,-0.04859899900281554,0.48909395020059954,,,43.04127546922589,-0.6300792449761142,14.1186445,4.097797,3.8107417,31.612,-0.076799996,-0.0127,-1.11037,-0.706,0.341,1613.18,1.783,-207533632.0
WULF,TeraWulf Inc.,Financial Services,Capital Markets,352,2.5059489530277306,Evitar,87.1,5.416666666666667,0.6140350877192982,4.780701754385965,0.26315789473684237,4.714035087719299,2.1929824561403506,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,15.350000381469727,-0.21948886022648917,-0.13660483886742092,-0.4855897995486017,0.7848837652871776,0.3177966281294598,4.288,7659169280.0,1.5499999999999998,False,1.4429824561403506,0.719298245614035,-0.5253726528165845,-0.030566859595509553,1.3675641105437109,,,40.543770301260324,-0.47032434009882673,19.286907499999998,-63.958336,52.0339,-37.936,-12.118051,0.0,-3.0703602,-0.06,0.624,3549.648,0.746,-234116752.0
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,298,3.836492812676853,Débil,87.1,6.030701754385966,0.6666666666666666,6.447368421052632,8.421052631578949,4.714035087719299,2.1929824561403506,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,18.989999771118164,-0.1334702363167618,0.024755468255954982,-0.3736807463351529,0.6513043279233186,0.3979808592517622,3.853,7126167040.0,1.5499999999999998,False,0.8903508771929822,2.3421052631578947,-0.5253726528165845,-0.10087551133238662,0.7063117635884026,,,43.434775359823384,-0.3380969181727507,19.286907499999998,-20.308205,3.2741377,-8.379,-0.48243,-1.96277,-1.22334,0.139,0.624,40.034,1.585,-718855744.0
GRAB,Grab Holdings Limited,Technology,Software - Application,195,4.540185371342835,Débil,87.1,5.116279069767441,4.3604651162790695,4.4186046511627906,3.7790697674418605,4.6924418604651175,4.011627906976744,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,,,,,3.609999895095825,-0.002817552871160367,-0.11869540181245408,-0.45468279530274547,0.1352200927974292,0.12499996950460031,0.89,14769599488.0,0.75,False,5.575581395348837,5.406976744186046,-0.43868893253503616,0.034031050903470514,0.6230471385774019,,,51.525409075356514,-0.142517847414376,32.81818,25.971222,2.1760094,31.085,0.077410005,0.16028,0.02104,0.219,0.747,28.224,1.523,502624992.0
MU,"Micron Technology, Inc.",Technology,Semiconductors,4,6.193604726181546,Neutral,87.1,6.25,9.383720930232558,9.767441860465116,7.732558139534884,4.6924418604651175,0.3488372093023256,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,0.5532613551608127,0.8537076965249273,,,932.8599853515625,-0.023187148206569863,0.5853552796967123,-0.25668527063620517,7.165076458219366,0.7176068247657791,2.213,1053565648896.0,0.06,False,3.296511627906977,7.651162790697674,-0.6806233924248266,0.007251090412833034,0.6223324226192946,,,50.68499132151266,-0.2311847488243156,21.095882,6.017472,10.456314,15.155,0.66638,0.55906,0.80370003,3.457,13.685,6.33,3.425,7639499776.0
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Banks - Regional,136,4.812033842671195,Débil,87.1,6.293859649122807,7.9298245614035086,3.7719298245614032,5.0,4.714035087719299,4.912280701754385,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,7.5,-0.06378729247284975,-0.07089343259164627,-0.21875,0.14614248935119023,0.3128971495374654,0.159,82664038400.0,2.31,False,4.8508771929824555,1.7894736842105265,0.12175827485247459,0.028638590725150504,0.17833333333333345,,,42.259845183213585,-0.192647394884689,9.146341,7.488094,1.954954,7.026,0.21476,0.32584,0.39073002,0.175,0.081,140.159,1.563,
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,53,5.379581845461365,Neutral,87.1,0.6686046511627908,8.848837209302326,8.720930232558139,8.895348837209301,4.6924418604651175,7.151162790697675,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,0.17835676409925452,0.31927454789891324,,,186.2899932861328,0.29597185917693936,0.2306812519332102,-0.10230342479696997,0.7513396003208874,0.7901136261604825,1.563,447665733632.0,1.32,False,1.2209302325581395,6.273255813953488,-0.9444498629169891,0.004823028321785456,0.02893342051705594,,,69.27719496321103,0.0,159.22223,80.49727,45.794003,164.716,0.38097,0.49005002,0.47120997,0.928,2.154,2.139,7.228,2159104512.0
AAPL,Apple Inc.,Technology,Consumer Electronics,275,4.093241260315079,Débil,87.1,2.761627906976744,8.546511627906977,2.441860465116279,1.4825581395348835,4.6924418604651175,0.3488372093023256,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,0.03407075763031744,0.04990127158915872,,,319.70001220703125,0.024679526304587363,0.13127243908001263,-0.07217688072951434,0.4149148581855777,0.7903390002278811,1.086,4665759498240.0,0.34,False,2.767441860465116,7.459302325581395,-0.8810691192135565,0.02308774712812232,0.014866461093191674,,,57.48085882161228,-0.059116206391550026,36.62085,33.516766,43.4375,27.91,1.4875101,0.27618998,0.32623002,0.164,0.287,78.445,1.003,107721875456.0
CIFR,Cipher Digital Inc.,Technology,Information Technology Services,351,2.9729468117029256,Evitar,87.1,3.4447674418604657,1.0988372093023255,0.7267441860465116,3.604651162790698,4.6924418604651175,9.593023255813954,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,,,,,15.170000076293945,-0.2626938611466425,-0.17438465117975122,-0.4966821474355029,1.1417478577289208,0.35073947505286657,3.223,6296015872.0,2.83,False,2.7470930232558137,1.4651162790697674,-0.5914415351172102,-0.46022101006545874,1.1210593169529348,,,41.0148430523036,-0.4801233749951957,14.876543,51.423733,11.179071,115.282,-1.67485,0.0,-3.01691,-0.43,0.038,950.563,2.996,-2897558784.0
FRMI,Fermi Inc.,Real Estate,REIT - Specialty,290,3.9377073313782986,Débil,87.1,2.9545454545454546,3.5454545454545454,5.454545454545454,6.363636363636363,4.981818181818183,5.454545454545454,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,5.0,-0.27188000582495997,-0.4016526354209673,-0.8648283319816167,0.11856823266219241,0.01629766297662977,,3202336768.0,6.105,False,3.8181818181818175,1.227272727272727,-0.20637215136488596,0.042402429013632004,2.425,,,37.992407482137374,-0.510284037089244,21.814347,43.144363,3.092146,14.9495,0.059300002000000004,0.0,0.0,0.057,0.356,55.87,1.102,
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,271,4.152306538796861,Débil,87.1,5.574324324324325,2.7027027027027026,2.8378378378378377,2.162162162162162,4.808108108108109,9.864864864864865,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,-0.009944170775157756,0.03021908100660364,,,13.880000114440918,-0.015393337983903077,0.029956302133443025,-0.21934757511580893,0.2493249427939621,0.41529237098064736,1.848,55347830784.0,4.3,False,2.4594594594594597,6.445945945945946,-0.5850328039564341,-0.14346090893765207,0.13299710881403248,,,47.06046923702094,-0.19550890729829787,21.149242,7.254482,1.549453,25.718,-0.18252,-0.03935,0.018819999,-0.038,0.081,456.708,1.089,-7940250112.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,25,5.698749869224063,Neutral,87.1,4.0540540540540535,7.45945945945946,8.783783783783784,4.72972972972973,4.808108108108109,5.135135135135135,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.044298757122682456,0.0837348890991275,,,266.42999267578125,0.058693632800951745,0.1162660139359224,-0.07231896700633267,0.3593366973254146,0.7722586916204085,1.454,2873797378048.0,2.86,False,3.878378378378378,8.89864864864865,-0.5422928545871355,0.0011201642177663064,0.2298566565617206,,,55.85318853310243,-0.06193224779346039,20.621517,25.641668,5.2081866,17.775,0.30558002,0.1744,0.13689,0.196,2.423,45.617,1.033,3219124992.0
RKT,"Rocket Companies, Inc.",Financial Services,Mortgage Finance,311,3.74264052065648,Débil,87.1,3.5964912280701755,1.8421052631578947,7.412280701754385,5.263157894736842,4.714035087719299,5.87719298245614,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,13.770000457763672,-0.030718517163836667,-0.1525475602501325,-0.43472904524779665,0.13147086752371995,0.13125516470579754,2.213,38991716352.0,2.585,False,1.7499999999999998,2.5350877192982457,-0.1576823870663372,-0.09144942355986084,0.2854030073775744,,,47.115182180348846,-0.19567758278332734,14.1186445,15.875395,1.655446,26.637,0.03033,0.04598,0.27083,0.919,0.341,140.911,1.879,-3565769984.0
SMR,NuScale Power Corporation,Industrials,Specialty Industrial Machinery,257,4.220489702233251,Débil,87.1,6.490384615384616,1.9615384615384617,2.3076923076923075,9.615384615384615,4.790384615384617,4.038461538461538,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,9.289999961853027,0.005563609405432324,-0.30529330891617323,-0.8382096837016192,0.28848820552746557,0.041426009995081205,2.306,3812518656.0,1.09,False,1.4134615384615383,4.0673076923076925,-0.7938716841624713,-0.053663737403099016,0.3598848279736804,,,50.106992371251,-0.334050172840654,42.35331,-14.251088,1.8494924,-12.046,-0.5518,0.0,-853.37335,-0.991,0.0445,0.332,37.88,-204594000.0
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,91,5.131876660341556,Neutral,87.1,6.029411764705882,5.4411764705882355,3.014705882352941,4.11764705882353,4.757352941176472,9.852941176470589,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.0060174938626311025,-0.0030243794845748843,,,27.959999084472656,0.09344321542993339,0.07188651974125437,-0.0274782927139946,0.1857505973058804,0.8471951807490632,0.28,159362875392.0,6.14,False,6.176470588235294,5.338235294117647,-0.4281890773501065,0.07834713575095782,0.023096242370264086,,,64.48166007725132,-0.021351089144816163,36.789474,9.656696,1.8704842,8.33,0.05014,0.06804,0.27877,0.026,0.025,74.253,1.267,12485624832.0
JOBY,"Joby Aviation, Inc.",Industrials,Airports & Air Services,234,4.3306683622828785,Débil,87.1,6.778846153846153,1.7307692307692308,6.9230769230769225,8.173076923076923,4.790384615384617,4.038461538461538,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,6.980000019073486,-0.12315963782303829,-0.3390871241225163,-0.6506506496960217,0.05279034978483965,0.02621722989314505,2.698,6904087040.0,1.09,False,2.6249999999999996,1.5673076923076925,-0.729504294664411,-0.06321563408331538,0.5294498525541633,,,37.687609497744795,-0.4325203324524122,35.206776,-10.821706,3.897264,-6.424,-0.65902,0.0,-6.75181,2574.933,0.0445,42.322,17.975,-436446240.0
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,287,3.970051089799477,Débil,87.1,0.43918918918918887,3.513513513513514,4.864864864864865,8.108108108108109,4.808108108108109,5.135135135135135,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.05864387033273854,-0.030556995469072135,,,348.75,-0.03252330682562776,-0.13014380574842876,-0.3008640218110378,0.17274194633129336,0.25500124100273025,1.827,1377404715008.0,2.86,False,1.6554054054054055,5.459459459459459,-0.934636744377513,0.0035109504790477738,0.11854574910394255,,,50.88906237195439,-0.21676733531373987,332.14288,161.56454,15.855876,125.581,0.046669997,0.03671,0.014099999,0.255,-0.03,18.373,1.941,4835999744.0
