ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,167.90499877929688,195,220,5.17,5.17,🔶 Neutral,100.0,19,19,3.2,6.46,6.78,4.48,3.79,3.5,3.31,4.5,0.84,2.8,3.5,1.4,9.46,9.96,9.68,9.55,5.66,7.4,7.36,5.6,3.03,0.06,8.13
APA,APA Corporation,Energy,Oil & Gas E&P,38.3849983215332,195,220,5.17,5.17,🔶 Neutral,100.0,19,19,6.86,7.7,1.19,4.43,9.66,8.28,0.67,6.6,7.72,9.85,7.4,7.64,6.67,8.3,7.96,9.42,0.07,1.87,1.68,5.79,1.85,3.1,6.45
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,84.0199966430664,195,220,5.17,5.17,🔶 Neutral,100.0,19,19,3.96,3.72,6.82,6.73,0.8,2.65,8.99,4.54,3.2,3.07,1.36,5.01,2.62,4.62,5.68,5.89,6.65,6.93,6.88,6.88,8.37,8.17,3.74
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,223.31500244140625,198,201,5.16,5.24,🔶 Neutral,94.7,18,19,7.19,2.6,6.24,4.34,8.95,8.54,1.8,7.29,8.77,9.23,5.51,1.27,2.28,0.8,2.06,1.87,5.74,6.54,6.46,7.87,0.45,0.41,7.12
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,383.3800048828125,198,224,5.16,5.16,🔶 Neutral,100.0,19,19,2.05,5.98,7.19,6.26,2.13,1.94,2.17,2.07,2.45,1.21,6.69,7.36,6.28,3.74,5.64,4.56,7.61,6.97,6.97,6.67,6.02,4.45,7.46
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,33.775001525878906,198,224,5.16,5.16,🔶 Neutral,100.0,19,19,3.62,7.6,2.01,8.37,6.58,3.25,0.86,4.45,1.61,5.7,5.79,8.36,9.48,5.91,8.65,8.34,0.93,2.43,2.79,9.91,9.96,9.98,3.66
HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts,522.1900024414062,198,224,5.16,5.16,🔶 Neutral,100.0,19,19,2.6,6.27,6.76,5.6,3.16,2.02,3.05,2.15,2.84,2.07,7.36,8.0,6.32,3.23,5.4,5.44,7.25,6.45,6.56,6.06,7.61,6.46,2.37
O,Realty Income Corporation,Real Estate,REIT - Retail,62.75,198,201,5.16,5.24,🔶 Neutral,94.7,18,19,2.47,5.37,7.97,5.81,0.92,0.65,2.42,8.24,0.75,3.23,0.9,1.44,7.12,9.81,9.59,9.98,6.95,8.41,8.65,5.33,5.66,4.64,7.48
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,65.93000030517578,203,184,5.13,5.3,🔶 Neutral,89.5,17,19,7.03,8.83,0.83,3.88,8.09,7.76,5.76,9.79,2.43,8.77,5.96,9.93,9.53,9.7,10.0,9.94,1.6,0.39,0.43,2.64,1.12,2.5,9.21
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,83.37999725341797,204,231,5.12,5.12,🔶 Neutral,100.0,19,19,1.84,8.9,5.21,5.22,2.47,1.79,3.66,0.13,0.97,0.93,9.81,8.8,8.6,9.4,8.32,7.25,8.03,3.77,3.62,3.86,4.56,7.07,6.02
