ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,446.2149963378906,249,294,4.9,4.9,⚠️ Débil,100.0,19,19,1.96,7.97,6.29,3.74,2.36,1.96,3.07,0.28,1.96,1.5,9.72,8.54,7.16,6.43,7.5,6.84,7.47,5.7,5.61,0.6,3.18,5.66,6.54
UNP,Union Pacific Corporation,Industrials,Railroads,247.83999633789062,249,294,4.9,4.9,⚠️ Débil,100.0,19,19,3.73,8.4,3.65,3.84,6.77,4.02,2.02,2.02,2.15,5.4,8.77,7.7,8.99,6.99,9.14,9.05,1.56,4.82,4.71,1.59,2.3,3.57,8.28
UBER,"Uber Technologies, Inc.",Technology,Software - Application,73.30999755859375,252,297,4.89,4.89,⚠️ Débil,100.0,19,19,4.17,5.95,3.09,6.9,8.26,4.64,0.75,2.95,5.87,1.2,8.75,6.13,7.42,3.91,2.67,1.96,8.69,0.07,0.07,7.68,4.29,6.46,8.92
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,331.6499938964844,253,209,4.88,5.21,⚠️ Débil,78.9,15,19,8.61,2.12,4.76,4.52,9.76,9.83,6.27,9.23,8.9,7.16,3.14,1.35,3.14,0.88,2.65,0.36,1.11,6.82,6.61,8.79,4.19,4.09,0.07
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,348.6549987792969,253,299,4.88,4.88,⚠️ Débil,100.0,19,19,4.61,3.82,4.57,7.0,6.22,3.66,2.74,4.13,7.35,3.68,6.02,6.0,2.75,1.1,2.09,1.94,5.66,3.91,4.07,7.89,6.71,4.75,8.02
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,109.55500030517578,253,286,4.88,4.96,⚠️ Débil,94.7,18,19,5.7,2.59,7.3,3.9,8.79,0.54,1.8,8.79,8.39,9.01,2.56,1.14,3.12,3.46,2.77,3.07,3.0,9.63,9.61,6.9,0.64,1.19,5.74
SYF,Synchrony Financial,Financial Services,Credit Services,71.44499969482422,253,184,4.88,5.3,⚠️ Débil,73.7,14,19,6.48,5.03,4.3,5.12,9.85,9.59,1.33,7.93,6.15,2.14,6.6,2.04,9.68,0.23,9.64,0.36,3.48,5.63,3.72,2.51,4.72,3.8,9.71
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,84.7300033569336,253,184,4.88,5.3,⚠️ Débil,73.7,14,19,6.93,3.56,4.86,5.6,8.88,8.11,4.67,7.94,4.6,7.16,3.48,0.6,8.56,0.23,7.83,0.36,3.48,6.34,4.77,7.22,3.66,4.09,6.78
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,240.2899932861328,258,301,4.87,4.87,⚠️ Débil,100.0,19,19,6.23,6.14,3.37,3.14,5.33,8.3,8.79,0.49,6.93,6.3,9.18,5.79,3.05,9.78,3.51,2.64,7.14,1.38,1.29,0.9,1.36,2.97,7.74
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,205.36000061035156,258,250,4.87,5.03,⚠️ Débil,89.5,17,19,3.61,7.17,7.2,1.79,6.64,1.63,0.69,9.44,1.38,2.0,1.85,7.31,9.78,8.97,9.74,9.66,2.81,9.55,9.59,2.71,0.21,0.49,3.33
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,75.13999938964844,260,304,4.86,4.86,⚠️ Débil,100.0,19,19,6.69,2.19,5.93,4.13,6.06,7.18,5.93,5.85,9.1,6.17,2.24,3.66,1.27,2.67,1.07,1.36,5.61,6.43,5.72,5.43,6.43,2.71,1.42
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,13.630000114440918,261,216,4.85,5.18,⚠️ Débil,78.9,15,19,7.83,1.66,5.53,5.15,4.53,9.85,6.98,9.03,8.45,9.35,0.11,1.12,0.07,4.02,1.63,6.28,3.48,6.6,6.69,3.33,6.39,3.63,7.31
MET,"MetLife, Inc.",Financial Services,Insurance - Life,73.74500274658203,262,306,4.84,4.84,⚠️ Débil,100.0,19,19,8.55,1.77,4.0,4.14,8.19,9.64,9.68,7.66,9.2,5.18,3.51,0.32,1.66,1.87,0.86,1.33,9.27,1.17,1.16,1.08,8.07,8.79,0.15
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,143.8699951171875,262,306,4.84,4.84,⚠️ Débil,100.0,19,19,8.09,3.85,1.1,5.89,9.01,7.61,7.77,7.55,8.36,8.3,4.09,7.05,3.48,1.78,2.38,2.17,0.37,1.63,1.33,8.93,9.91,2.65,0.82
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,222.7100067138672,262,306,4.84,4.84,⚠️ Débil,100.0,19,19,2.27,5.38,6.63,5.77,2.58,1.23,1.48,1.33,5.53,1.79,8.49,8.37,3.33,2.82,2.64,2.36,7.39,6.21,6.21,4.0,7.07,6.75,5.83
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,17.290000915527344,262,240,4.84,5.08,⚠️ Débil,84.2,16,19,5.99,1.43,6.76,6.18,3.2,9.29,0.09,8.34,8.86,8.9,0.21,1.87,0.21,3.29,1.5,3.16,5.79,7.33,7.23,1.81,8.75,8.09,7.33
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,130.9499969482422,266,283,4.83,4.99,⚠️ Débil,89.5,17,19,5.89,2.72,5.46,5.88,2.43,5.61,9.53,3.51,8.37,5.89,2.69,5.74,1.42,1.94,1.57,1.7,7.47,4.32,4.44,6.02,6.09,8.02,3.79
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,158.60000610351562,266,224,4.83,5.16,⚠️ Débil,78.9,15,19,5.25,8.06,3.0,4.12,6.37,4.5,4.52,9.76,2.11,3.89,5.96,9.4,8.71,8.24,8.39,8.75,4.4,2.21,2.29,2.64,2.64,1.89,9.18
HBAN,Huntington Bancshares Incorpora,Financial Services,Banks - Regional,16.325000762939453,268,204,4.82,5.23,⚠️ Débil,73.7,14,19,7.1,3.59,4.32,5.6,9.29,9.25,4.34,8.82,3.21,7.16,2.86,0.56,8.92,0.23,9.12,0.36,6.72,2.37,3.79,7.22,3.66,4.09,6.78
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,37.65999984741211,268,311,4.82,4.82,⚠️ Débil,100.0,19,19,5.29,2.71,7.58,3.28,1.08,5.64,8.22,3.78,9.31,3.35,4.53,1.16,0.8,5.46,1.42,2.19,4.05,9.57,9.36,0.19,5.63,6.97,1.68
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,197.5399932861328,270,315,4.81,4.81,⚠️ Débil,100.0,19,19,3.62,5.43,4.08,6.74,3.44,2.56,4.84,4.15,3.29,3.38,3.72,6.39,5.96,5.5,5.94,6.07,3.06,4.67,4.57,7.05,9.27,9.18,1.91
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,96.5999984741211,270,315,4.81,4.81,⚠️ Débil,100.0,19,19,4.32,7.26,3.96,3.54,6.21,6.45,3.36,1.7,3.7,3.05,8.84,6.99,7.1,8.67,3.74,5.51,8.07,1.85,1.61,1.87,4.02,6.66,2.56
GE,GE Aerospace,Industrials,Aerospace & Defense,309.07000732421875,270,315,4.81,4.81,⚠️ Débil,100.0,19,19,1.07,5.98,8.3,4.59,1.87,0.62,0.65,0.8,1.57,0.82,9.07,4.08,7.36,2.73,5.51,4.6,8.42,8.21,8.27,2.93,3.21,3.68,8.67
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,106.74500274658203,270,246,4.81,5.05,⚠️ Débil,84.2,16,19,5.36,4.73,6.86,2.72,7.53,6.5,0.84,2.93,8.49,6.67,8.11,6.26,2.21,3.5,2.93,1.89,6.26,7.14,7.21,1.46,3.48,0.7,5.1
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,112.21499633789062,274,301,4.79,4.87,⚠️ Débil,94.7,18,19,6.48,5.25,1.08,6.71,8.0,6.49,6.27,7.05,4.36,6.21,4.02,1.68,7.78,5.79,8.49,6.36,0.32,1.56,1.39,7.74,3.66,6.56,8.64
DIS,Walt Disney Company (The),Communication Services,Entertainment,98.58999633789062,274,319,4.79,4.79,⚠️ Débil,100.0,19,19,6.55,3.82,3.37,5.13,8.56,6.97,2.11,7.89,7.27,7.48,3.53,3.72,4.64,3.63,3.48,3.78,3.61,3.25,3.23,7.79,1.21,2.6,7.89
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,41.869998931884766,274,319,4.79,4.79,⚠️ Débil,100.0,19,19,7.45,2.0,5.66,3.21,3.25,8.8,9.5,7.79,8.6,6.8,1.94,3.16,1.3,1.44,1.66,2.43,9.81,1.29,5.93,2.26,5.96,3.2,1.59
ABT,Abbott Laboratories,Healthcare,Medical Devices,103.30000305175781,277,322,4.78,4.78,⚠️ Débil,100.0,19,19,4.79,5.8,1.23,7.94,4.11,5.36,6.62,4.32,3.51,3.98,3.94,6.41,6.22,7.07,6.13,6.17,3.12,0.21,0.21,8.6,7.03,6.94,8.88
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,98.18000030517578,277,322,4.78,4.78,⚠️ Débil,100.0,19,19,7.33,3.78,4.8,2.17,9.68,9.63,0.43,6.8,9.38,9.59,7.27,3.51,2.04,3.05,1.79,2.13,3.3,5.64,5.57,1.31,1.08,2.71,3.87
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,1022.6104125976562,279,324,4.77,4.77,⚠️ Débil,100.0,19,19,1.62,4.01,8.69,5.54,0.95,0.3,0.52,0.37,7.68,0.6,7.83,7.5,1.25,0.92,0.73,0.97,8.91,8.6,8.56,6.41,3.4,2.58,8.99
GLW,Corning Incorporated,Technology,Electronic Components,159.38499450683594,279,324,4.77,4.77,⚠️ Débil,100.0,19,19,1.76,4.27,9.06,4.55,0.39,0.47,5.89,1.36,1.07,0.5,5.27,4.39,3.57,3.35,3.93,4.62,8.72,9.27,9.21,4.39,7.08,4.58,2.19
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,107.93000030517578,281,310,4.75,4.83,⚠️ Débil,94.7,18,19,3.15,6.34,8.08,1.41,5.98,0.77,2.42,5.38,1.48,2.9,3.64,2.43,9.36,8.28,8.64,9.63,5.53,9.44,9.46,2.11,0.32,1.38,1.66
PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,82.29000091552734,282,328,4.74,4.74,⚠️ Débil,100.0,19,19,5.03,4.54,6.95,1.8,7.21,4.39,2.92,6.22,4.39,5.29,3.89,2.6,6.8,3.16,4.36,7.76,8.52,6.02,6.21,2.15,1.77,2.32,1.01
IT,"Gartner, Inc.",Technology,Information Technology Services,151.58999633789062,282,328,4.74,4.74,⚠️ Débil,100.0,19,19,7.04,6.8,1.48,2.79,8.17,8.32,8.69,0.21,7.53,8.49,9.61,7.61,3.93,8.36,4.64,3.79,2.18,1.17,1.04,0.13,2.9,5.91,3.36
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,38.89500045776367,282,328,4.74,4.74,⚠️ Débil,100.0,19,19,5.66,4.0,6.52,2.04,5.44,3.91,6.58,7.12,5.38,6.0,2.04,2.13,5.59,4.6,4.58,8.0,2.36,8.73,8.79,2.47,2.07,3.14,0.6
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,160.21499633789062,285,332,4.73,4.73,⚠️ Débil,100.0,19,19,2.22,5.66,7.13,4.34,2.84,1.08,1.35,0.79,5.76,1.85,9.33,8.92,3.18,2.64,2.88,2.3,5.99,7.69,7.81,2.38,4.36,2.39,8.24
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,21.524999618530273,286,333,4.71,4.71,⚠️ Débil,100.0,19,19,7.18,2.01,2.52,7.12,5.53,6.92,6.64,8.21,8.62,8.39,1.44,3.81,1.59,1.12,2.41,1.63,1.11,3.18,3.41,9.7,8.99,8.06,1.4
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,267.7149963378906,286,333,4.71,4.71,⚠️ Débil,100.0,19,19,2.66,7.98,4.17,4.36,4.62,2.54,2.21,0.45,2.82,2.95,9.63,9.51,7.38,5.38,7.29,6.56,3.0,4.84,4.74,0.77,4.8,5.8,7.08
SLB,SLB Limited,Energy,Oil & Gas Equipment & Services,51.54999923706055,288,335,4.7,4.7,⚠️ Débil,100.0,19,19,5.95,4.02,2.15,6.84,6.34,5.81,4.69,5.5,6.69,7.53,4.22,6.5,3.35,1.4,3.68,4.17,3.48,1.36,1.51,7.53,6.07,6.12,7.35
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,148.4199981689453,289,336,4.69,4.69,⚠️ Débil,100.0,19,19,5.28,3.13,8.25,1.31,6.62,4.26,3.72,6.09,7.05,3.85,3.57,2.01,3.25,2.47,3.64,4.52,9.34,7.59,7.74,1.2,1.79,1.93,0.47
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,74.72000122070312,290,337,4.68,4.68,⚠️ Débil,100.0,19,19,6.64,4.45,3.23,3.85,6.93,6.24,8.26,0.99,9.51,7.79,9.59,7.38,1.01,1.31,0.77,1.05,2.47,3.74,3.53,0.32,5.87,3.87,6.06
AIG,"American International Group, I",Financial Services,Insurance - Diversified,77.29000091552734,290,327,4.68,4.76,⚠️ Débil,94.7,18,19,8.34,2.92,1.81,5.37,8.67,9.21,6.27,9.12,7.74,9.79,1.79,1.05,4.13,3.07,2.99,6.77,0.52,2.98,1.94,8.8,0.97,0.7,9.36
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,67.30999755859375,290,337,4.68,4.68,⚠️ Débil,100.0,19,19,3.27,4.35,6.49,4.92,1.91,5.46,1.2,5.79,3.08,2.24,1.76,3.42,4.21,8.65,6.39,4.5,1.36,9.31,9.2,8.62,3.94,4.41,1.85
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,56.45000076293945,293,339,4.67,4.67,⚠️ Débil,100.0,19,19,7.19,3.09,0.89,7.59,6.43,7.78,6.06,8.3,6.79,8.79,1.57,2.93,3.44,4.24,3.27,4.58,1.07,0.84,0.75,8.99,8.8,8.58,3.89
WST,"West Pharmaceutical Services, I",Healthcare,Medical Instruments & Supplies,264.0799865722656,293,339,4.67,4.67,⚠️ Débil,100.0,19,19,1.71,6.07,4.68,7.36,1.74,0.97,1.51,2.65,2.02,1.64,5.74,8.07,6.56,3.33,6.17,5.91,5.53,4.16,4.28,9.46,9.38,9.28,1.29
IVZ,Invesco Ltd,Financial Services,Asset Management,23.989999771118164,295,297,4.66,4.89,⚠️ Débil,84.2,16,19,8.56,1.81,3.67,4.77,7.67,9.4,9.66,8.95,7.57,7.38,0.45,1.74,0.3,2.22,5.87,3.72,4.12,3.56,3.26,9.16,1.66,4.77,2.6
COP,ConocoPhillips,Energy,Oil & Gas E&P,124.02999877929688,295,341,4.66,4.66,⚠️ Débil,100.0,19,19,5.32,5.37,0.87,7.54,7.18,4.54,0.79,6.3,6.3,9.27,3.74,6.24,5.68,5.76,3.78,8.13,0.56,0.97,1.12,7.93,5.91,7.16,9.03
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,178.7100067138672,297,299,4.65,4.88,⚠️ Débil,84.2,16,19,2.77,9.3,4.01,3.62,4.15,2.93,4.49,0.06,1.2,2.67,9.93,9.46,9.1,8.56,9.38,8.86,3.33,4.32,4.44,0.07,4.77,7.53,3.61
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,1139.1099853515625,297,344,4.65,4.65,⚠️ Débil,100.0,19,19,3.14,6.08,3.39,6.68,2.99,2.17,4.13,1.08,5.68,2.69,9.1,9.63,3.36,4.0,3.31,2.79,3.16,3.61,3.41,5.74,9.18,8.53,3.83
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,96.69000244140625,299,345,4.64,4.64,⚠️ Débil,100.0,19,19,5.48,6.08,4.6,1.61,7.08,7.25,3.98,0.6,7.03,6.71,9.78,7.89,4.37,3.64,2.82,3.55,1.56,6.09,6.39,0.47,1.44,1.45,3.29
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,243.8300018310547,299,319,4.64,4.79,⚠️ Débil,89.5,17,19,5.93,4.92,4.0,3.91,6.8,4.24,2.86,9.57,7.7,5.61,7.04,8.86,2.65,2.97,1.7,2.41,6.91,2.35,2.53,2.38,3.9,0.36,8.6
NI,NiSource Inc,Utilities,Utilities - Regulated Gas,47.744998931884766,301,347,4.63,4.63,⚠️ Débil,100.0,19,19,4.38,4.82,7.23,1.5,5.38,2.69,3.21,6.21,4.3,5.42,2.39,2.54,5.98,6.28,7.31,8.49,8.65,6.14,6.83,2.24,1.25,1.72,0.67
STT,State Street Corporation,Financial Services,Asset Management,135.4600067138672,302,278,4.62,5.02,⚠️ Débil,73.7,14,19,7.95,3.27,1.39,7.37,8.6,8.39,8.31,8.09,6.07,7.67,3.27,0.39,7.76,0.23,7.51,0.36,1.14,1.5,1.55,7.82,7.93,8.29,5.54
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,80.73500061035156,302,350,4.62,4.62,⚠️ Débil,100.0,19,19,4.83,4.17,7.51,1.25,5.78,4.21,3.29,6.67,4.32,5.27,2.49,1.5,5.91,5.68,3.96,8.24,7.91,7.21,7.4,1.91,1.29,1.51,0.21
TECH,Bio-Techne Corp,Healthcare,Biotechnology,54.59000015258789,304,351,4.61,4.61,⚠️ Débil,100.0,19,19,3.11,4.36,4.4,7.41,0.22,1.78,9.14,3.55,1.64,0.99,0.99,6.32,2.24,8.17,5.55,6.19,1.63,5.77,6.06,9.12,9.76,9.61,1.23
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,144.7899932861328,304,351,4.61,4.61,⚠️ Débil,100.0,19,19,3.61,7.49,2.72,4.89,6.47,3.36,0.95,2.47,3.66,5.31,8.09,8.28,7.4,6.32,7.21,6.58,1.97,3.07,3.18,5.78,1.33,2.19,9.57
LUV,Southwest Airlines Company,Industrials,Airlines,40.459999084472656,306,355,4.59,4.59,⚠️ Débil,100.0,19,19,6.9,1.01,7.26,2.28,1.03,9.14,9.89,5.91,9.05,6.47,1.12,0.45,0.86,1.76,0.99,1.1,5.49,8.81,7.51,5.25,0.65,1.76,0.77
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,229.75,306,355,4.59,4.59,⚠️ Débil,100.0,19,19,2.05,6.0,5.56,5.41,2.21,1.48,2.13,3.23,1.53,1.76,4.43,7.1,7.55,3.4,7.44,7.12,7.74,4.39,4.39,8.88,3.44,2.81,5.31
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,26.459999084472656,306,328,4.59,4.74,⚠️ Débil,89.5,17,19,8.27,1.6,3.93,4.37,8.22,8.06,6.49,9.31,9.07,9.64,1.16,1.91,1.74,1.16,0.64,3.46,3.81,4.02,3.96,7.72,5.98,1.74,0.86
WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,72.19000244140625,309,357,4.58,4.58,⚠️ Débil,100.0,19,19,2.15,7.05,7.87,1.0,2.56,1.12,2.83,2.3,1.44,2.86,6.21,4.34,8.02,7.85,9.21,9.33,6.11,8.81,8.82,1.36,0.69,0.99,0.88
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,82.43000030517578,309,357,4.58,4.58,⚠️ Débil,100.0,19,19,2.18,6.23,2.86,8.27,1.29,1.87,3.64,3.38,1.25,1.25,2.95,6.95,6.92,9.21,6.67,6.73,7.69,0.24,0.29,9.61,9.63,9.72,4.17
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,188.58999633789062,311,360,4.57,4.57,⚠️ Débil,100.0,19,19,4.36,7.23,2.06,4.68,6.5,3.81,2.95,1.44,5.93,6.06,9.21,9.48,5.94,5.72,5.83,4.02,0.81,2.85,2.58,5.66,6.47,2.9,3.12
WM,"Waste Management, Inc.",Industrials,Waste Management,228.86000061035156,311,360,4.57,4.57,⚠️ Débil,100.0,19,19,2.76,5.86,6.48,3.26,2.52,1.98,3.08,1.76,3.89,3.91,7.85,6.3,3.79,4.15,5.72,6.8,4.59,7.46,7.55,0.95,2.19,4.62,6.0
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,37.30500030517578,313,347,4.56,4.63,⚠️ Débil,94.7,18,19,5.48,3.54,3.03,6.71,5.23,6.77,1.06,5.46,8.04,8.47,3.68,6.82,2.06,1.14,3.36,3.4,1.79,3.83,3.53,4.24,8.32,8.0,7.03
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,210.1999969482422,313,362,4.56,4.56,⚠️ Débil,100.0,19,19,5.44,4.47,2.74,5.64,5.41,4.52,5.87,3.76,6.8,6.92,5.81,7.33,2.95,1.74,2.95,4.04,6.65,0.6,0.66,3.55,9.48,9.16,1.51
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,93.51000213623047,315,364,4.54,4.54,⚠️ Débil,100.0,19,19,3.15,5.34,8.1,1.2,4.02,2.73,3.74,4.19,1.55,1.89,2.15,1.72,8.45,7.87,6.8,9.12,8.79,7.61,7.85,2.06,0.86,1.65,0.13
MMM,3M Company,Industrials,Conglomerates,148.21600341796875,316,368,4.52,4.52,⚠️ Débil,100.0,19,19,5.13,6.3,1.84,4.75,5.25,5.72,6.86,0.88,5.55,5.96,9.53,6.93,5.57,4.06,2.69,5.4,2.07,1.72,1.72,0.8,7.59,7.68,4.32
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,1290.0450439453125,317,370,4.51,4.51,⚠️ Débil,100.0,19,19,1.1,7.31,3.18,7.8,0.26,0.26,4.28,0.77,0.06,0.13,6.32,8.67,8.06,6.82,7.25,6.37,8.84,0.13,0.13,9.98,9.85,9.89,1.46
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,15.489899635314941,317,357,4.51,4.58,⚠️ Débil,94.7,18,19,7.37,1.7,5.86,2.4,9.37,9.08,0.26,9.2,9.14,8.75,0.49,3.5,0.52,1.93,2.26,2.58,1.24,8.3,8.39,3.72,2.24,0.83,2.24
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,18.200000762939453,319,373,4.5,4.5,⚠️ Débil,100.0,19,19,8.4,3.57,3.15,1.5,8.3,8.5,8.88,8.69,7.64,8.11,2.06,1.53,3.63,4.04,6.04,8.11,2.32,3.37,3.87,1.48,2.71,1.5,0.34
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,270.0,320,376,4.49,4.49,⚠️ Débil,100.0,19,19,2.07,6.14,5.79,4.44,2.07,1.14,2.93,1.4,2.86,1.96,6.88,7.07,5.5,5.48,5.38,5.5,3.3,7.12,7.14,3.63,3.87,4.6,5.85
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",101.80999755859375,320,362,4.49,4.56,⚠️ Débil,94.7,18,19,8.34,1.71,1.24,6.62,7.87,8.99,6.04,9.29,9.33,9.71,1.08,2.56,1.4,2.0,1.44,2.06,2.23,0.73,0.69,8.43,8.56,6.91,2.28
MAR,Marriott International,Consumer Cyclical,Lodging,348.1549987792969,322,347,4.48,4.63,⚠️ Débil,89.5,17,19,3.14,8.61,4.04,2.64,2.17,1.31,3.81,9.74,0.41,1.55,7.04,7.93,9.76,9.35,9.36,9.76,4.2,4.12,3.77,2.38,0.5,1.63,5.89
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,128.11000061035156,322,377,4.48,4.48,⚠️ Débil,100.0,19,19,3.94,3.48,4.28,6.8,2.9,2.86,4.64,5.81,4.28,3.44,2.17,4.23,3.72,3.89,3.66,3.94,4.2,4.28,4.37,8.97,7.25,7.45,3.23
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,307.20001220703125,324,305,4.47,4.85,⚠️ Débil,73.7,14,19,6.32,4.45,2.9,5.6,8.34,7.08,5.85,6.19,2.79,7.16,5.61,0.82,9.5,0.23,9.18,0.36,2.28,3.32,3.12,7.22,3.66,4.09,6.78
NWSA,News Corporation,Communication Services,Entertainment,24.889999389648438,325,366,4.46,4.53,⚠️ Débil,94.7,18,19,4.29,3.86,2.96,7.71,2.95,3.31,0.32,7.98,7.59,6.34,1.52,3.21,5.71,7.09,4.07,2.23,3.7,2.49,2.64,8.36,7.86,8.74,5.95
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,70.31500244140625,325,379,4.46,4.46,⚠️ Débil,100.0,19,19,5.4,2.84,6.26,2.84,1.27,7.35,4.8,2.92,9.66,8.26,4.37,5.76,0.69,1.91,0.67,1.07,1.88,8.84,8.36,0.56,1.77,1.08,8.06
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,51.07500076293945,325,351,4.46,4.61,⚠️ Débil,89.5,17,19,5.62,4.36,6.44,1.11,3.83,4.47,6.45,6.34,6.97,6.75,2.43,2.97,2.34,8.21,7.27,7.31,8.79,4.62,5.8,1.4,0.79,1.68,0.64
WTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers,290.69000244140625,325,366,4.46,4.53,⚠️ Débil,94.7,18,19,6.42,5.95,1.0,4.33,7.61,7.12,6.27,4.3,6.0,6.73,6.49,4.23,6.69,4.36,8.79,6.11,0.99,1.01,1.01,3.89,4.79,1.93,6.32
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,61.810001373291016,325,354,4.46,4.6,⚠️ Débil,89.5,17,19,7.14,3.37,3.87,3.26,7.35,6.86,7.36,5.36,8.34,7.76,5.59,4.06,2.39,1.51,2.07,2.52,8.24,1.24,1.84,2.28,4.15,3.74,3.18
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,20.809900283813477,330,381,4.45,4.45,⚠️ Débil,100.0,19,19,9.04,3.47,1.55,2.4,9.37,8.93,9.27,8.11,9.23,9.2,4.21,5.48,2.02,2.41,2.52,3.03,0.79,1.93,2.02,1.5,3.01,2.11,3.1
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,937.0,331,383,4.44,4.44,⚠️ Débil,100.0,19,19,0.9,4.13,7.45,6.38,0.97,0.45,1.27,0.52,1.85,0.09,8.93,1.46,5.38,1.57,1.53,1.4,2.88,9.93,9.91,9.5,2.82,3.25,8.69
C,"Citigroup, Inc.",Financial Services,Banks - Diversified,123.0718994140625,331,311,4.44,4.82,⚠️ Débil,73.7,14,19,7.9,2.71,2.6,5.6,7.7,8.47,8.62,8.92,5.96,7.16,1.59,0.36,7.31,0.23,7.1,0.36,3.12,2.39,2.24,7.22,3.66,4.09,6.78
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,92.81999969482422,331,341,4.44,4.66,⚠️ Débil,84.2,16,19,4.57,5.04,6.1,2.53,3.35,1.55,7.2,9.91,3.16,1.87,0.69,9.03,6.07,6.39,4.54,4.37,5.66,6.47,6.18,3.93,1.61,0.21,3.64
COR,"Cencora, Inc.",Healthcare,Medical Distribution,323.04998779296875,331,383,4.44,4.44,⚠️ Débil,100.0,19,19,5.29,3.26,5.61,3.2,1.79,5.53,8.92,0.22,9.79,5.38,9.79,2.47,0.65,0.47,0.41,0.71,3.7,6.52,6.76,0.45,2.4,2.21,8.11
